Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
bas-ita-D-04Jul-2,bas-ita-D-04Jul-222,"Basil, Italian Large Leaf (D)",2022-08-03 7:59,28,28,0,466.6,PIPP1C7
sor-red-D-05Jul,sor-red-D-05Jul22,"Sorrel, Red-Veined (D)",2022-08-01 9:02,32,36,0,239,PIPP1G6
cel-uth-C-08Jul,cel-uth-C-08Jul22,Celery (C),2022-08-01 10:33,9,11,0,94.5,PIPP3C7
cil-spl-C-11Jul,cil-spl-C-11Jul22,"Cilantro, Split (C)",2022-08-01 11:27,25,25,0,86.8,PIPP3C5
bas-ita-D-11Jul,bas-ita-D-11Jul22,"Basil, Italian Large Leaf (D)",2022-08-01 11:31,3,3,0,14,PIPP4M1
let-rom-D-12Jul,let-rom-D-12Jul22,"Lettuce, Romaine 'Parris Island' (D)",2022-08-01 11:32,38,38,0,158,PIPP1I2
pak-rub-D-14Jul,pak-rub-D-14Jul22,"Pak Choi, Rubi (D)",2022-08-01 9:46,45,45,0,285,PIPP1I7
car-mcg-C-18Jul,car-mcg-C-18Jul22,Carrot micros (C),2022-08-01 8:51,5,5,0,15.2,PIPP3A1
was-mus-B-25Jul,was-mus-B-25Jul22,Wasabi (B),2022-08-01 10:58,6,6,0,14.2,PIPP4A1
par-flt-C-11Jul,par-flt-C-11Jul22,"Parsley, Italian Flat (C)",2022-08-02 9:24,30,30,0,42,PIPP3C4
let-rom-D-13Jul-2,let-rom-D-13Jul-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-02 9:25,38,38,0,194,PIPP1G4
pak-rub-D-15Jul-2,pak-rub-D-15Jul-222,"Pak Choi, Rubi (D)",2022-08-02 8:57,45,45,0,241,PIPP1K6
bro-wal-B-25Jul,bro-wal-B-25Jul22,Broccoli Waltham 29 (B),2022-08-03 7:58,6,6,0,25,PIPP3A7
koh-pur-B-25Jul,koh-pur-B-25Jul22,"Kohlrabi, Purple Vienna (B)",2022-08-02 9:40,9,9,0,47.5,PIPP3B4
mus-mix-B-25Jul,mus-mix-B-25Jul22,Mustard Micro Mix (B),2022-08-02 9:38,2,2,0,15.5,PIPP3B3
sun-blk-B-25Jul,sun-blk-B-25Jul22,"Sunflower, Black Oil (B)",2022-08-02 9:48,32,26,0,36,PIPP4A3
sun-blk-B-25Jul-2,sun-blk-B-25Jul-222,"Sunflower, Black Oil (B)",2022-08-03 7:58,16,16,0,105,PIPP3A3
rad-dai-B-26Jul,rad-dai-B-26Jul22,"Radish, Daikon (B)",2022-08-02 9:33,12,12,0,60,PIPP3B2
rad-red-B-26Jul,rad-red-B-26Jul22,"Radish, Red Arrow (B)",2022-08-02 9:29,16,16,0,62,PIPP4B2
sor-red-D-07Jul,sor-red-D-07Jul22,"Sorrel, Red-Veined (D)",2022-08-03 10:43,32,32,0,168,PIPP3E1
par-flt-C-13Jul,par-flt-C-13Jul22,"Parsley, Italian Flat (C)",2022-08-03 13:16,30,30,0,30,PIPP3C5
cil-spl-C-14Jul,cil-spl-C-14Jul22,"Cilantro, Split (C)",2022-08-03 11:11,25,25,0,56,PIPP3C6
miz-rst-D-18Jul,miz-rst-D-18Jul22,"Mizuna, Red Streaks (D)",2022-08-03 10:54,12,12,0,72.5,PIPP1F5
