Variety,Seed Date,Date Temp Taken,Crop Age in Days,Temp of Leaf,Time of Temp Reading,Location of Tray,Evap pad on?,Any comments?,Temp of room (Trane),leaf temp - room temp,,Temp-Hobo,Humidity-Hobo
Aru&Peas,7/27/22,2008-02-22,7,74.3,14:24:00,4A4,No,,,,,,
Peas,7/25/22,2008-02-22,9,75.4,14:25:00,3A4,No,,,,,,
Suns,7/26/22,2008-02-22,8,78.9,14:27:00,4A3,No,Domes on ,,,,,
Suns,7/26/22,2008-02-22,8,79.7,14:29:00,3A3,No,Domes on,,,,,
Wasabi,7/27/22,2008-02-22,7,73.9,14:39:00,4A1,No,,,,,,
Carrot,7/20/22&7/25/22,2008-02-22,14&9 ,73.8,14:46:00,3A1,No,,,,,,
Frill,7/19/22,2008-02-22,15,74.4,15:01:00,4L7,Yes,Crops peak ,,,,,
Frill,7/19/22,2008-02-22,15,73.8,15:02:00,3L7,Yes,,,,,,
Frill,7/19/22,2008-02-22,15,72.5,15:03:00,3L6,Yes,,,,,,
Frill,7/28/22,2008-02-22,6,70.8,15:05:00,4L3,Yes,,,,,,
Frill,7/28/22,2008-02-22,6,71.6,15:07:00,3L3,Yes,,,,,,
Frill,7/28/22,2008-02-22,6,71.3,15:08:00,4L2,Yes,,,,,,
Frill,7/21/22,2008-02-22,13,70.1,15:09:00,3L2,Yes,,,,,,
Frill,7/21/22,2008-02-22,13,69.3,15:10:00,4L1,Yes,,,,,,
Frill,7/21/22,2008-02-22,13,70.2,15:13:00,3L1,Yes,,,,,,
,,,,,,,,,,,,,
Dill,7/14/22,2008-03-22,,77.6,09:34:00,2D8,Yes,Very Low ,,,,,
Dill,7/15/22,2008-03-22,,77.3,09:36:00,1D8,Yes,,,,,,
Kale,7/20/22,2008-03-22,,77.1,09:38:00,2D5,Yes,,,,,,
Kale,7/20/22,2008-03-22,,77.5,09:39:00,1D5,Yes,,,,,,
Kale,7/20/22,2008-03-22,,78.2,09:41:00,2D4,Yes,6 lights ,,,,,
Kale,7/20/22,2008-03-22,,76.5,09:43:00,1D4,Yes,,,,,,
Kale,7/20/22,2008-03-22,,76.8,09:44:00,2D3,Yes,,,,,,
Kale,7/20/22,2008-03-22,,76,09:45:00,1D3,Yes,,,,,,
Kale,7/20/22,2008-03-22,,76.7,09:47:00,2D2,Yes,,,,,,
Kale,7/25/22,2008-03-22,,80,10:33:00,2 E5,Yes,,,,,,
Kale,7/25/22,2008-03-22,,80.4,10:35:00,1 E5,Yes,,,,,,
Kale,7/25/22,2008-03-22,,80.1,10:38:00,2 E4,Yes,,,,,,
Kale,7/25/22,2008-03-22,,78.9,10:40:00,1 E4,Yes,,,,,,
Kale,7/25/22,2008-03-22,,79.7,10:42:00,2 E3,Yes,Very Low ,,,,,
Kale,7/25/22,2008-03-22,,80,10:44:00,1 E3,Yes,,,,,,
Kale,7/25/22,2008-03-22,,79.9,10:45:00,2 E2,Yes,,,,,,
Kale,7/25/22,2008-03-22,,79.8,10:46:00,1 E2,Yes,,,,,,
Kale,7/25/22,2008-03-22,,78.5,10:48:00,2 E1,Yes,,,,,,
Kale,7/25/22,2008-03-22,,78.6,10:50:00,1 E1,Yes,,,,,,
,,,,,,,,,,,,,
Kale,7/27/22,2008-04-22,,80.1,10:17:00,2F5,Yes ,Very Low,,,,,
